t	x
259.266667	3.15
259.333333	3.43
259.400000	3.45
259.466667	4.02
259.533333	3.19
259.600000	3.57
259.666667	3.18
259.733333	3.55
259.800000	4.2
259.866667	4.27
259.933333	3.72
260.000000	3.24
260.066667	3.1
260.133333	3.01
260.200000	10.87
260.266667	14.14
260.333333	39.63
260.400000	35.58
260.466667	18.24
260.533333	11.78
260.600000	10.2
260.666667	15.4
260.733333	11.08
260.800000	8.1
260.866667	6.89
260.933333	5.69
261.000000	6.89
261.066667	11.14
261.133333	7.23
261.200000	5.23
261.266667	5.23
261.333333	3.79
261.400000	3.5
261.466667	4.56
261.533333	3.31
261.600000	3.27
261.666667	3.02
261.733333	2.7
261.800000	3.64
261.866667	3.55
261.933333	3.58
262.000000	4.26
262.066667	3.21
262.133333	3.57
262.200000	3.26
262.266667	3.43
262.333333	2.59
262.400000	3.71
262.466667	3.74
262.533333	3.58
262.600000	2.66
262.666667	3.18
262.733333	2.97
262.800000	3.36
262.866667	4.1
262.933333	7.37
263.000000	10.27
263.066667	12.4
263.133333	12.16
263.200000	21.54
263.266667	13.73
263.333333	7.67
263.400000	6.39
263.466667	4.95
263.533333	8.66
263.600000	7.02
263.666667	5.81
263.733333	4.66
263.800000	3.64
263.866667	3.38
263.933333	2.43
264.000000	2.62
264.066667	2.67
264.133333	2.43
264.200000	1.98
264.266667	1.72
264.333333	2.12
264.400000	2.03
264.466667	1.8
264.533333	1.77
264.600000	1.77
264.666667	1.42
264.733333	1.34
264.800000	1.57
264.866667	1.51
264.933333	1.53
265.000000	1.41
265.066667	1.31
265.133333	1.21
265.200000	1.33
265.266667	1.21
265.333333	1.42
265.400000	1.19
265.466667	1.28
265.533333	1.31
265.600000	1.21
265.666667	1.6
265.733333	1.17
