t	x
259.333333	0
259.500000	0
259.666667	0
259.833333	0
260.000000	0
260.166667	0
260.333333	0
260.500000	0.09
260.666667	0.04
260.833333	0.03
261.000000	0.02
261.166667	0.01
261.333333	0.01
261.500000	0
261.666667	0
261.833333	0
262.000000	0
262.166667	0
262.333333	0
262.500000	0
262.666667	0
262.833333	0
263.000000	0.02
263.166667	0.06
263.333333	0.08
263.500000	0.02
263.666667	0.02
263.833333	0
264.000000	0.01
264.166667	0
264.333333	0
264.500000	0
264.666667	0
264.833333	0
265.000000	0
265.166667	0
265.333333	0
265.500000	0
265.666667	0
